gbif_id,Latine_name
1036779,Carabus auratus
1043097,Adalia bipunctata
1043717,Cryptolaemus montrouzieri
1047536,Leptinotarsa decemlineata
1048809,Lilioceris lilii
1063891,Amphimallon solstitiale
1071240,Anoplotrupes stercorosus
1071266,Sericotrupes niger
1077829,Cetonia aurata
1310622,Polistes gallicus
1311477,Vespa velutina
1311527,Vespa crabro
1311649,Vespula germanica
1311651,Vespula austriaca
1311671,Vespula vulgaris
1311676,Vespula rufa
1311797,Dolichovespula omissa
1311798,Dolichovespula sylvestris
1311805,Dolichovespula saxonica
1311825,Dolichovespula adulterina
1311831,Dolichovespula norwegica
1311838,Dolichovespula media
1312367,Camponotus ligniperdus
1312773,Camponotus herculeanus
1315132,Formica rufa
1318848,Myrmica ruginodis
1318874,Myrmica rubra
1329873,Odynerus spinipes
1334278,Stelis breviuscula
1334493,Chelostoma rapunculi
1334499,Chelostoma campanularum
1334821,Anthidium manicatum
1335321,Megachile ericetorum
1335556,Megachile willughbiella
1335648,Megachile rotundata
1336116,Megachile versicolor
1336802,Heriades truncorum
1337092,Hoplitis adunca
1338442,Coelioxys echinata
1338640,Coelioxys aurolimbata
1339951,Amegilla atrocincta
1340286,Bombus muscorum
1340301,Bombus lapidarius
1340305,Bombus pratorum
1340342,Bombus sylvarum
1340344,Bombus rupestris
1340394,Bombus ruderarius
1340405,Bombus pascuorum
1340418,Bombus vestalis
1340434,Bombus barbutellus
1340503,Bombus terrestris
1340527,Bombus campestris
1340542,Bombus hortorum
1341976,Apis mellifera
1342108,Xylocopa violacea
1346919,Isodontia mexicana
1348620,Colletes daviesanus
1349795,Hylaeus communis
1357156,Andrena flavipes
1428217,Sympetrum sanguineum
1495562,Haematopota pluvialis
1497483,Chrysops caecutiens
1500013,Tabanus sudeticus
1502577,Calliphora vicina
1524843,Musca domestica
1535521,Meliscaeva cinctella
1535529,Meliscaeva auricollis
1536289,Pipiza quadrimaculata
1536449,Episyrphus balteatus
1536559,Baccha elongata
1536796,Neoascia podagrica
1537212,Syrphus vitripennis
1537245,Syrphus torvus
1537266,Syrphus ribesii
1537412,Rhingia campestris
1537717,Scaeva selenitica
1537719,Scaeva pyrastri
1541217,Eristalis tenax
1541740,Volucella inanis
1541763,Volucella bombylans
1541799,Volucella pellucens
1541832,Volucella zonaria
1590998,Bibio marci
1670212,Bombylius major
1873079,Plodia interpunctella
2105360,Chrysoperla carnea
4388646,Coreus marginatus
4452252,Psyllobora vigintiduopunctata
4459737,Chrysomela populi
4470628,Carabus auronitens
4485729,Graphosoma lineatum
4485776,Palomena prasina
4486826,Pyrrhocoris apterus
4493809,Chrysura austriaca
4494295,Passaloecus eremita
4516754,Myathropa florea
4518735,Sarcophaga carnaria
4989904,Harmonia axyridis
4990191,Coccinella septempunctata
4990995,Melolontha melolontha
4991026,Melolontha hippocastani
4994132,Geotrupes stercorarius
4994160,Geotrupes mutator
5035785,Lasius niger
5035857,Lasius flavus
5037317,Ancistrocerus melanocerus
5039039,Osmia leaiana
5039096,Osmia caerulescens
5039166,Osmia brevicornis
5039314,Osmia rufa
5040875,Melitta leporina
5063973,Lucilia sericata
5071172,Leucozona lucorum
5156102,Leptoglossus occidentalis
5742495,Panorpa communis
5766554,Melanostoma mellinum
5766556,Melanostoma scalare
5871389,Polistes dominula
5978844,Tachina fera
7412043,Calopteryx splendens
8703749,Dipogon bifasciatus
9198953,Harpalus rufipes
9295353,Osmia florisomnis
9711771,Trypoxylon figulus
11195063,Drosophila melanogaster
11219325,Tabanus bromius
